customer_id,churn_30d
C000001,0
C000002,0
C000003,0
C000004,0
C000005,0
C000006,0
C000007,0
C000008,0
C000009,0
C000010,0
C000011,0
C000012,0
C000013,0
C000014,0
C000015,0
C000016,1
C000017,0
C000018,0
C000019,0
C000020,0
C000021,0
C000022,0
C000023,0
C000024,0
C000025,0
C000026,0
C000027,0
C000028,0
C000029,0
C000030,0
C000031,1
C000032,0
C000033,0
C000034,1
C000035,0
C000036,0
C000037,0
C000038,0
C000039,0
C000040,0
C000041,0
C000042,0
C000043,0
C000044,0
C000045,0
C000046,0
C000047,0
C000048,0
C000049,0
C000050,0
C000051,0
C000052,0
C000053,0
C000054,1
C000055,0
C000056,0
C000057,0
C000058,1
C000059,0
C000060,0
C000061,0
C000062,0
C000063,1
C000064,0
C000065,0
C000066,0
C000067,1
C000068,0
C000069,0
C000070,0
C000071,0
C000072,1
C000073,0
C000074,0
C000075,0
C000076,0
C000077,0
C000078,0
C000079,0
C000080,0
C000081,0
C000082,0
C000083,0
C000084,0
C000085,0
C000086,0
C000087,0
C000088,0
C000089,0
C000090,0
C000091,0
C000092,0
C000093,0
C000094,0
C000095,0
C000096,0
C000097,1
C000098,0
C000099,0
C000100,0
C000101,0
C000102,1
C000103,0
C000104,0
C000105,0
C000106,0
C000107,0
C000108,1
C000109,0
C000110,0
C000111,0
C000112,0
C000113,0
C000114,0
C000115,0
C000116,0
C000117,0
C000118,0
C000119,0
C000120,0
C000121,0
C000122,0
C000123,0
C000124,0
C000125,0
C000126,1
C000127,0
C000128,1
C000129,0
C000130,0
C000131,0
C000132,0
C000133,0
C000134,0
C000135,0
C000136,0
C000137,1
C000138,0
C000139,0
C000140,0
C000141,1
C000142,0
C000143,0
C000144,0
C000145,0
C000146,0
C000147,0
C000148,0
C000149,1
C000150,0
C000151,0
C000152,1
C000153,0
C000154,0
C000155,0
C000156,0
C000157,0
C000158,0
C000159,0
C000160,0
C000161,0
C000162,0
C000163,0
C000164,0
C000165,0
C000166,0
C000167,0
C000168,1
C000169,0
C000170,0
C000171,1
C000172,1
C000173,0
C000174,0
C000175,0
C000176,0
C000177,1
C000178,0
C000179,1
C000180,1
C000181,0
C000182,1
C000183,0
C000184,0
C000185,0
C000186,0
C000187,0
C000188,0
C000189,1
C000190,0
C000191,0
C000192,0
C000193,0
C000194,0
C000195,0
C000196,0
C000197,0
C000198,0
C000199,0
C000200,0
C000201,0
C000202,0
C000203,0
C000204,1
C000205,0
C000206,0
C000207,0
C000208,0
C000209,0
C000210,0
C000211,1
C000212,0
C000213,0
C000214,0
C000215,0
C000216,0
C000217,0
C000218,0
C000219,0
C000220,1
C000221,0
C000222,0
C000223,0
C000224,0
C000225,0
C000226,1
C000227,1
C000228,0
C000229,1
C000230,0
C000231,0
C000232,1
C000233,0
C000234,1
C000235,0
C000236,0
C000237,0
C000238,0
C000239,0
C000240,0
C000241,0
C000242,1
C000243,0
C000244,0
C000245,0
C000246,0
C000247,0
C000248,0
C000249,1
C000250,0
C000251,0
C000252,0
C000253,0
C000254,0
C000255,0
C000256,1
C000257,0
C000258,0
C000259,0
C000260,0
C000261,0
C000262,1
C000263,0
C000264,0
C000265,0
C000266,0
C000267,0
C000268,1
C000269,1
C000270,0
C000271,0
C000272,0
C000273,0
C000274,0
C000275,0
C000276,0
C000277,0
C000278,0
C000279,0
C000280,0
C000281,0
C000282,0
C000283,0
C000284,0
C000285,0
C000286,1
C000287,0
C000288,0
C000289,0
C000290,0
C000291,0
C000292,0
C000293,1
C000294,0
C000295,0
C000296,0
C000297,0
C000298,0
C000299,1
C000300,0
C000301,0
C000302,0
C000303,0
C000304,0
C000305,0
C000306,0
C000307,0
C000308,1
C000309,0
C000310,0
C000311,0
C000312,0
C000313,0
C000314,0
C000315,0
C000316,0
C000317,0
C000318,0
C000319,0
C000320,0
C000321,0
C000322,0
C000323,0
C000324,0
C000325,0
C000326,0
C000327,0
C000328,0
C000329,0
C000330,0
C000331,0
C000332,0
C000333,0
C000334,0
C000335,1
C000336,0
C000337,0
C000338,0
C000339,0
C000340,1
C000341,0
C000342,0
C000343,0
C000344,0
C000345,0
C000346,0
C000347,0
C000348,0
C000349,0
C000350,0
C000351,0
C000352,0
C000353,0
C000354,1
C000355,0
C000356,0
C000357,0
C000358,0
C000359,0
C000360,0
C000361,0
C000362,0
C000363,0
C000364,0
C000365,0
C000366,0
C000367,0
C000368,0
C000369,0
C000370,1
C000371,0
C000372,0
C000373,0
C000374,1
C000375,0
C000376,0
C000377,0
C000378,0
C000379,0
C000380,0
C000381,0
C000382,0
C000383,0
C000384,0
C000385,0
C000386,0
C000387,0
C000388,0
C000389,0
C000390,0
C000391,0
C000392,0
C000393,0
C000394,0
C000395,0
C000396,0
C000397,0
C000398,0
C000399,0
C000400,0
C000401,0
C000402,0
C000403,0
C000404,0
C000405,0
C000406,1
C000407,0
C000408,0
C000409,0
C000410,0
C000411,0
C000412,0
C000413,0
C000414,0
C000415,0
C000416,0
C000417,0
C000418,0
C000419,0
C000420,0
C000421,0
C000422,0
C000423,1
C000424,0
C000425,0
C000426,0
C000427,0
C000428,0
C000429,0
C000430,0
C000431,0
C000432,1
C000433,0
C000434,0
C000435,0
C000436,0
C000437,0
C000438,0
C000439,0
C000440,0
C000441,0
C000442,0
C000443,1
C000444,0
C000445,0
C000446,0
C000447,1
C000448,0
C000449,0
C000450,0
C000451,1
C000452,1
C000453,0
C000454,0
C000455,0
C000456,0
C000457,0
C000458,0
C000459,0
C000460,1
C000461,0
C000462,0
C000463,0
C000464,0
C000465,0
C000466,1
C000467,0
C000468,0
C000469,0
C000470,0
C000471,0
C000472,0
C000473,0
C000474,0
C000475,0
C000476,0
C000477,0
C000478,0
C000479,0
C000480,0
C000481,1
C000482,0
C000483,1
C000484,0
C000485,0
C000486,0
C000487,0
C000488,0
C000489,0
C000490,0
C000491,0
C000492,0
C000493,0
C000494,0
C000495,0
C000496,0
C000497,0
C000498,0
C000499,0
C000500,0
C000501,0
C000502,0
C000503,0
C000504,0
C000505,0
C000506,0
C000507,0
C000508,0
C000509,1
C000510,0
C000511,0
C000512,0
C000513,0
C000514,0
C000515,0
C000516,0
C000517,0
C000518,1
C000519,0
C000520,0
C000521,1
C000522,0
C000523,0
C000524,0
C000525,0
C000526,0
C000527,0
C000528,0
C000529,0
C000530,0
C000531,0
C000532,0
C000533,0
C000534,1
C000535,0
C000536,0
C000537,0
C000538,0
C000539,0
C000540,0
C000541,0
C000542,1
C000543,0
C000544,0
C000545,0
C000546,0
C000547,0
C000548,0
C000549,0
C000550,0
C000551,0
C000552,1
C000553,0
C000554,0
C000555,0
C000556,0
C000557,0
C000558,0
C000559,1
C000560,0
C000561,0
C000562,0
C000563,0
C000564,0
C000565,0
C000566,1
C000567,1
C000568,0
C000569,0
C000570,1
C000571,0
C000572,0
C000573,0
C000574,0
C000575,0
C000576,0
C000577,0
C000578,1
C000579,1
C000580,0
C000581,1
C000582,0
C000583,1
C000584,0
C000585,1
C000586,0
C000587,0
C000588,0
C000589,0
C000590,0
C000591,1
C000592,0
C000593,1
C000594,0
C000595,0
C000596,0
C000597,0
C000598,0
C000599,0
C000600,0
C000601,0
C000602,0
C000603,0
C000604,0
C000605,0
C000606,0
C000607,0
C000608,0
C000609,0
C000610,0
C000611,0
C000612,0
C000613,0
C000614,1
C000615,1
C000616,0
C000617,0
C000618,0
C000619,1
C000620,1
C000621,0
C000622,0
C000623,0
C000624,0
C000625,0
C000626,0
C000627,0
C000628,0
